user,item,rating
1,1,5.0
2,1,5.0
3,1,2.0
4,1,5.0
5,1,5.0
6,1,5.0
7,1,5.0
8,1,5.0
9,2,5.0
10,2,5.0
11,2,5.0
12,2,5.0
13,2,5.0
14,2,5.0
15,2,4.0
16,2,5.0
17,2,5.0
18,3,5.0
19,3,4.0
20,3,5.0
21,3,4.0
22,3,5.0
23,3,5.0
24,3,5.0
25,3,5.0
10,3,3.0
26,3,5.0
27,3,5.0
28,3,5.0
29,3,5.0
30,3,5.0
31,3,4.0
32,3,1.0
33,3,5.0
34,3,3.0
35,3,5.0
36,3,5.0
37,3,2.0
38,3,5.0
39,3,5.0
40,4,1.0
41,4,5.0
42,4,4.0
43,4,2.0
44,4,5.0
45,4,5.0
46,4,5.0
47,4,5.0
48,4,5.0
49,4,4.0
50,5,5.0
51,5,5.0
52,5,4.0
53,5,4.0
54,5,5.0
55,5,5.0
56,5,5.0
57,5,5.0
58,5,5.0
59,5,5.0
60,5,3.0
61,5,5.0
62,5,5.0
63,5,5.0
64,5,5.0
65,5,5.0
66,5,5.0
67,5,5.0
68,5,4.0
69,5,5.0
70,5,5.0
71,5,4.0
72,5,5.0
73,5,4.0
74,5,5.0
75,5,5.0
76,5,4.0
12,5,5.0
77,5,5.0
78,5,5.0
79,5,5.0
80,5,4.0
81,5,5.0
82,5,4.0
83,5,5.0
84,5,4.0
85,5,5.0
86,5,5.0
87,5,5.0
88,5,5.0
89,5,5.0
90,5,5.0
91,5,4.0
92,5,5.0
93,6,5.0
42,6,5.0
94,6,4.0
95,6,4.0
96,6,4.0
97,6,5.0
98,6,3.0
99,6,5.0
2,6,4.0
100,6,1.0
101,6,4.0
102,6,2.0
103,6,5.0
104,6,5.0
105,6,5.0
106,7,5.0
107,7,5.0
108,7,5.0
100,7,5.0
15,7,5.0
109,8,5.0
110,8,1.0
111,8,3.0
112,8,4.0
113,8,1.0
114,9,4.0
115,9,5.0
116,9,5.0
117,9,5.0
118,9,5.0
119,9,5.0
120,9,5.0
121,9,5.0
122,9,4.0
123,9,5.0
124,9,5.0
